field,rank,asin,title,star,public,price
Food,1,B000L425TY,"Royal Canin Size Health Nutrition Mini Adult Dry Dog Food 2 Kg Multicolor, 02Rcmina2, Mini Adult Dog Dry Food",4.5,"2,333",67.40
Food,2,B000T4FWQ4,Royal Canin Size Health Nutrition Mini Adult - 8 kg,4.5,"2,519",154.15
Food,3,B006NR23JU,"Pedigree Dog Food, Chicken & Vegetables Flavour Dog Food Dry, 10Kg, Complete & Balanced Dog Dry Food For Adult Dogs",4.4,154,84.50
Food,4,B07JVN9CK8,Royal Canin Mini Adult Wet Pouches Dog Food - 12x85g,4.6,"1,355",71.79
Food,5,B07JD6VHXG,LILY'S KITCHEN Dog Classic Dinners Multipack Wet Food (6x150g),4.5,"3,203",52.40
Food,6,B07MVLDG7N,"Cesar Dog Food, Beef Dog Wet Food, Tray of 6x100g, Formulated Without Grains, Complete and Balanced Dog Nutrition",4.3,41,37.30
Food,7,B005OI7J98,Royal Canin Shn Size Health Nutrition Mini Puppy 2Kg Dog Dry Food,4.5,"1,930",91.80
Food,8,B07JC6Z9CC,"Royal Canin, Mini Puppy Pouch Wet Dog Food, 85 grams, Pack of 12",4.6,"1,710",59.45
Food,9,B002FTK8GK,Royal Canin Medium Adult Dry Dog Food - 4KG,4.5,789,89.25
Food,10,B001AW07UU,Royal Canin Bhn Golden Retriever Adult 12 Kg Breed Health Nutrition Dog Food,4.4,499,292.79
Food,11,B07PRNMZMS,"Pedigree Dog Food, Adult Mini, Beef, Lamb & Vegetables Flavour Dog Food Dry, 1.5Kg, Complete & Balanced Dog Dry Food For Mini Adult Dogs 9 Months and Up",4.3,131,24.70
Food,12,B01CWXF7R8,"Pedigree Puppy Dog Food, Milky Pockets with Chicken, Egg, and Milk Flavour Dog Food Dry, 1.3Kg, Nutri Defense Dog Dry Food For Puppies",4.3,161,20.10
Food,13,B01FWJXVB8,Hill's Science Plan Hills Science Plan Sensitive Stomach & Skin Small & Mini Adult Dog Food With Chicken 1.5Kg,4.5,68,74.10
Food,14,B06XNBWL48,Orijen Original Dog Food 11.4Kg,4.7,"1,323",373.63
Food,15,B002DPMQSO,"Royal Canin Shn Maxi Adult 15 Kg Size Health Nutrition Dog Food, Multicolor, 3182550732154, Maxi Adult Dog Dry Food",4.4,451,288.20
Food,16,B000VJW2GA,Royal Canin Medium Adult Dry Dog Food - 15KG,4.4,"1,041",249.30
Food,17,B004VK6P0E,Royal Canin Bhn Maltese Adult 1.5 KGBreed Health Nutrition DogFood,4.6,880,85.95
Food,18,B001AW081S,Royal Canin Poodle Adult Dry Dog Food - 1.5KG,4.5,771,95.40
Food,19,B004ZQ270G,Royal Canin SHN Mini Indoor Adult 1.5 kg Size Health Nutrition Dog Food,4.5,69,84.85
Food,20,B07JNF6DDS,"Pedigree Dog Food, Beef in Gravy Flavour Dog Food Wet, Pack of 24x400g, Complete & Balanced Dog Wet Food For Adult Dogs",4.4,29,182.50
Food,21,B000T4DTGY,Royal Canin Medium Puppy Dry Food - 4KG,4.5,"2,203",134.00
Food,22,B08CVPZ4H1,Royal Canin BHN Pomeranian Adult 1.5 kg Breed Health Nutrition Dog Food,4.6,399,88.05
Food,23,B08LRGCDWR,ORIJEN ADULT SMALL BREED DOG 1.8KG,4.7,177,124.00
Food,24,B082NH29TN,Royal Canin CCN Digestive Care Wet Food Pouches Box of 12x85g Canine Care Nutrition Dog Food,4.6,143,86.59
Food,25,B072HT4K2H,"Pedigree Dog Food, Beef & Vegetables Flavour Dog Food Dry, 10Kg, Complete & Balanced Dog Dry Food For Adult Dogs",4.4,104,100.60
Food,26,B09JP53HKQ,"Meat Up Dry Dog Food, Meat And Rice, 6 Kg( 2 x 3 Kg)| High Protein & Fibre, Omega 3 & 6 For Healthy Skin & Coat, Strong Bones & Joint Health, Builds Immunity",4.3,"1,362",43.25
Food,27,B00PKU5BNG,Hill's Science Plan Adult Perfect Weight Large Breed Dog Food with Chicken - 12KG,4.9,18,263.95
Food,28,B002LYB15Q,"Royal Canin Bhn Cocker Adult 3 Kg Breed Health Nutrition Dog Food, Multicolor, 02Rcc3, Spaniel Food",4.6,470,113.75
Food,29,B07KXK4LQ4,Royal Canin SHN Medium Adult Wet Food Pouches Box of 10x140g Size Health Nutrition Dog,4.6,106,78.90
Food,30,B000T5GGH2,Royal Canin Yorkshire Terrier Adult Dry Dog Food - 1.5KG,4.7,593,88.05
Food,31,B083SPG49X,Hill's Science Plan Perfect Weight Small & Mini Adult Dog Food with Chicken - 1.5KG,4.6,6,65.00
Food,32,B000VJXWUU,"Royal Canin Bhn Labrador Adult 12 Kg Breed Health Nutrition Dog Food, Multicolor, 02Rcl, Food",4.5,"1,804",292.79
